host,port,protocol,source
185.100.157.20,8000,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
195.98.82.63,1080,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
217.173.31.28,1080,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
186.216.195.1,4153,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
142.147.240.113,6635,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
142.147.245.167,5858,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
191.101.11.245,6643,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
118.145.141.251,44221,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
110.235.252.74,1080,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
138.199.25.13,3909,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
103.138.145.150,1999,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
65.21.252.66,10811,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
199.116.112.6,4145,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
8.213.151.128,3128,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
118.145.141.251,44228,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
98.170.57.249,4145,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
94.233.120.194,1080,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
118.145.141.251,44239,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
24.249.199.4,4145,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
46.202.71.110,8118,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
185.190.90.2,4145,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
83.222.24.37,1080,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
45.41.171.74,6110,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
180.158.222.93,1080,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
147.45.158.88,1080,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
167.71.102.253,3128,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
103.160.68.143,80,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
131.222.249.39,8080,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
192.227.131.250,6834,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
146.103.3.73,7126,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
98.188.47.150,4145,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
107.173.137.77,6331,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
47.119.20.8,9098,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
45.61.96.93,6073,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
77.221.152.210,36219,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
212.33.248.45,1080,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
152.70.237.238,3128,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
170.81.108.153,4153,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
148.135.144.167,8428,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
185.61.38.140,1080,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
118.145.141.251,44114,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
136.0.189.157,6884,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
92.101.193.58,1080,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
192.111.139.165,4145,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
15.235.21.254,8080,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
80.93.62.239,1080,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
179.189.246.129,5432,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
185.171.83.65,49153,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
34.165.141.4,8888,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
65.21.252.66,10808,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
72.210.252.137,4145,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
67.201.35.145,4145,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
186.211.1.37,60606,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
118.145.141.251,44051,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
45.162.225.114,59341,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
192.187.111.82,17027,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
142.147.128.86,6586,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
146.103.3.132,7185,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
66.135.227.178,4145,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
108.175.24.1,13135,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
109.172.55.210,1082,socks5,https://raw.githubusercontent.com/TheSpeedX/PROXY-List/refs/heads/master/socks5.txt
